id,appId,date,score,text
gp:AOqpTOF44wLukTJkTE-hzOT0AHpsqHtBv_2KHLPEFRWgJ8gAakgV7iQe1l0y5zBK2uUH_tERk5ViI2L4b5Rd3V4,com.flipkart.android,December 16, 2018,5,Nice app
gp:AOqpTOF1VO6p7YQBHXfYwoa7spUXra9tzgfIQbyOvlAF7fVoaa_-IJ6lUpTYQ0ss1LOef2L_Plf_LPq1rEqflvk,com.flipkart.android,December 16, 2018,4,Good app
gp:AOqpTOGA1lxLB_1jjZqT6_jd0TR4w87bY64FRr__udW7Dud2vrVqJYnpfhUffA59KHtr-l_uG1cfk7KViHnaa6w,com.flipkart.android,December 16, 2018,5,It is nice
gp:AOqpTOF_be_AcZZpby9jvomLanuAkdLEtC3FaqhhEAiN85KjSemUgsmj7408HUZbPu6vC9pUthpBDoNA35ffBN8,com.flipkart.android,December 16, 2018,3,ok
gp:AOqpTOE_Wp_xubX0SMzdm-lAB4kSPmLkQj9WsGWhE1dSgHgEIrkUqh9Goo0ybpO3AnV6VciNEVi1KHCjJUDEQoM,com.flipkart.android,December 16, 2018,4,I"m happy to use flipkart online shoping.....
gp:AOqpTOHsYQ69619fNWfDAgoNuanFsh5hXyUIoSE4DmJvBvkgx3AoPT39_jsqU-zc-XlMAev0GGcZWJgot3hlRs0,com.flipkart.android,December 16, 2018,5,Your saftwere is good
gp:AOqpTOENwl61_Vr8XZIuOf6A_e39TDzjO_njDBa69lQjZSJRdEbh5puZAeQ_douOgRq0sV_3rHoJpyKf2_X8HWk,com.flipkart.android,December 16, 2018,5,Nice
gp:AOqpTOFOm_G5zNgKznPGd0Aq63a9fEqGazSDzRaGNwmPt3WwUqM_LNmxwqrZpuv4zDQZ8oUyYHyXbcsXbL8i7SY,com.flipkart.android,December 16, 2018,5,Useful
gp:AOqpTOEmLIIsJA0i3G1vy8H7NjVd_bNMQRdRfNAweH9pkqQQudXYHjnZ24Hhlvil9Md4ld1i0lUuvGnF566Q6_w,com.flipkart.android,December 16, 2018,5,When need will let you know.
gp:AOqpTOEqt8pNjvH63kdzSKpZTI0xiYx14NiD-YDvDW-IRJOCXM5Brxk6-ZNZMv63sVFZeD3O2n0UUbYCGZPF9s8,com.flipkart.android,December 16, 2018,5,Nice Shopping station
gp:AOqpTOF-NytWHmPqg70S0majmasmD8nztOmtWK9g2iKWxhARvjjkYG4SfoGPmQO39iDcgiCWy2GG04BiML3Gn8s,com.flipkart.android,December 16, 2018,5,Superb.....
gp:AOqpTOF69jJ9PYOjgpf9UvAfefX3HSnTfzL3PEzZaRgofCZiUD6zLnE0DXHK5uTLBhXvzh24hK4zRtkknEwybV8,com.flipkart.android,December 16, 2018,5,Happy
gp:AOqpTOFXL_yq5b1B67zlQOEjwjP11liXqh4kjtaIsad1bgG8pmceEchofsezEIaeEcC_fx-cC4V4YZSnEgshXko,com.flipkart.android,December 16, 2018,5,very good app . always ship from this app.
gp:AOqpTOH3zYspW3eqRiHPfNVifpLE9TlYSMWMHfxCr3xwwPLmELo1MJVBJKSh2tCBv3O_DNzTzkn5IU9zb-v31CA,com.flipkart.android,December 16, 2018,3,Nicr
gp:AOqpTOHIfKCwR1nm7xoYe1Ib0WvZS8Kq6f7FfWq5H0zsZ4WA2z8cmd40w3yfo2JTsVpLTjZEkDxyI0uqJW_zLJs,com.flipkart.android,December 16, 2018,5,Good experience
gp:AOqpTOHSnF47H7oWNPyX3i_VsJwL2qOKmoQVvO6XEP9v54hC7Sk9LBJJIk5jZB0CKbKmmjhYFgXMletcUwiZKKc,com.flipkart.android,December 16, 2018,5,Kiya hora
gp:AOqpTOH2SobJUlp9Zdcd-oGM_1jDrWCK3PkbXyY426Uc2QvpTsGRHQtTYE69mom1mm1xBTfLY3oWnEwiW63UZfs,com.flipkart.android,December 16, 2018,5,Good
gp:AOqpTOGlZZT0XOrsSXnIcsZOyt6xK1CPCmIYCWXds3OPuDQvku4l2xKInDR9UJCNZYixsjjd5Nn11PgK1GZL6Ss,com.flipkart.android,December 16, 2018,5,Nice
gp:AOqpTOGN1QOPB11bwzQpB1Iw-XjIrbozOovc3olVXO7cYma7tnTChdbKat42up-fOXogMdn1imNNjZ0NTcGbIbs,com.flipkart.android,December 16, 2018,5,Nice app
gp:AOqpTOFoD5IKhAOnAnB1QE7KbzaxVKjeelKxnAP8g7DPdCRxTL3ujexEO4ZBvCr0QXcNMD3tbESDDDJlsxperPM,com.flipkart.android,December 16, 2018,3,Hai
gp:AOqpTOFw-_oGgtiFMc-u9BpQ0RkKeYe8ceJ28FQhJu5n8ClUE_pjX3qypR-29mhR3EApMoQDT3M9QgpeXPLSCi8,com.flipkart.android,December 16, 2018,4,Good online app on the whole
gp:AOqpTOEB2CKyhxI05cjl8HTG4Nz_zbUBZxRaB43G6aoSbnURddD6nYr9XFxbJOX20kUCiwpPW1ZhCyGZ_Sd318U,com.flipkart.android,December 16, 2018,4,COD is the best highlights..thanx
gp:AOqpTOF2daYlVOiFClo14e79IrjsenK64ypS1lOP__7H-SY_9Rjgm_vcjMlM-QZcCccz5fR9hIOchBTpGbqp3Uo,com.flipkart.android,December 16, 2018,5,Wowww I loved it
gp:AOqpTOGwezD1z20nRnHWusnAP1W1YfgGvIFxhddkgsoPjDlHjbCEBIPk_cOhPrZ0UHxFWmvAm18nWcbDsC5okI0,com.flipkart.android,December 16, 2018,4,Fast
gp:AOqpTOHKpKUHSUo1DNP6OAMw0WQyqPvkCzTEVihPStcV21iHlp0R4mLS9qCD2uKFoXLwZ5NngYfXwl3l_LbRIWQ,com.flipkart.android,December 16, 2018,5,Well
gp:AOqpTOEQCA61bK7l4qLzxnj-oi68epv1d3yaVJpLFhQ4NeqFMF4m5Ek9b_L5uUQMXrET21QuhReJx6sTaKgrXds,com.flipkart.android,December 16, 2018,5,Very good offers and its user friendly
gp:AOqpTOFKZCxWvBBmW51qbZiYq9X2o8TNzO-fEWRfGy4qddDq7Zls7H0piGOIoKrJY0nMoO5kfJyoYCKSVogc5ww,com.flipkart.android,December 16, 2018,1,Flipkart is selling fake products
gp:AOqpTOG06ZHF2vaib5y5_ZaRQ8SPk56CqoKm3DF7LlkmEhqUtV7jGSEh0SOsMirr-07oWOYs4pGOGGL0MKv5tnY,com.flipkart.android,December 16, 2018,4,Great team work...keep it up.
gp:AOqpTOGUpD3xxUyHO8gOnvirZTn8XurUVI2aMRPQy8uRYM2DvoA6Jvn9YekAJ5zhlcmD5Txisp2NJjflLzjLyX0,com.flipkart.android,December 16, 2018,5,Super
gp:AOqpTOGZj27ixtSW8GRnTRKDHOdu0h_2T_8TCMTV50x2aBUC14l8Uw3q1WIKWUXAcirTVRB2Vs4sOpKZg-Zfldk,com.flipkart.android,December 16, 2018,5,Thank you Flipkart
gp:AOqpTOFmKblh9OWviz1A1HrX8Z1dIunmjqzXI5GMsul01gN0zDaSBmi_1tUzUSG69KyllNOeFPNaL4xviDz6_nQ,com.flipkart.android,December 16, 2018,5,A perfect shopping app.😊
gp:AOqpTOEblkwMPGheqYW9NPzHcHXVo0UWDB2Gy1m4S-c7BN_JajD1dDe91f2FNir8fh7L1cMI_A2mDSEAPI3g6Do,com.flipkart.android,December 16, 2018,3,It's ok
gp:AOqpTOEsxcX9h9mUkJIhVVfdb2_0JWECboeOIlI2IqTB_3DdH2Fo8z-rR2pXLSR6r4D4Cah6RmeJwixHRcBwI-I,com.flipkart.android,December 16, 2018,3,Well an Good .. with Services and Products
gp:AOqpTOHUpzMiqeojKR7GsrLTY3xX_6IeP-dOA6u6Fb_hZOkZWgzluKBnQNOyk3Q--NOd6z07wQ6YYCnyhfq5dgo,com.flipkart.android,December 16, 2018,5,Jayu
gp:AOqpTOGo8CypQsZDGY1BwB6dSkfZtdYvMNyY8g6WYbozPQ9i2GXuszLDfBvb1F-PgkJm6cUDBB4rxiF6E4EVSw0,com.flipkart.android,December 16, 2018,5,Very useful app
gp:AOqpTOFaDJnOqVLU2LmoReO9ofymcxhGBPBjDTYhWHA6UZGNGAxl-DVDVyDtJ3cL2BuO_wKuFNDPFLUw6kCa0pA,com.flipkart.android,December 16, 2018,5,Nothing to say
gp:AOqpTOHP4ktuEE6grIZJDPbdoBhDUXvwk_D2X7Gy1TSxPu-ZHmpQ5R0jGo9lg2NbegMDMwXv5KHmhi0nbLQ6C60,com.flipkart.android,December 16, 2018,5,Great
gp:AOqpTOFKOrHndaUABS0gem4d0Lp8j559UOJ80G0Ma4I3C_kg_ZK9lz-Zp3HSjFyo-UWCHDR9S955_jToDYHbTrw,com.flipkart.android,December 16, 2018,5,Love to shop here... Best prices compare to amazon
gp:AOqpTOG8HGM1F9khtOyfCcDQ65GvY8cSaXcpQ2kj23wJjzfaUDl92JE95sFSrl8nOPvrCzDPb5YdPwjnhrwN59M,com.flipkart.android,December 16, 2018,5,Nice
gp:AOqpTOFBzcZicGJoblVZYUmB0g8-xQeDrrW6s4IxUAByQfH_PuSBY8C-W7mFoolLrDOg80kZmel5_jAmIDmX4eU,com.flipkart.android,December 16, 2018,5,Aswome
gp:AOqpTOEBVf7O_CPfLdBF_tpy7BfMFba9Thw1DWknTpPcGeyqwJO6QBNVgTGKcDReAVY10nBYoz8sc8IdXfMY6LY,com.flipkart.android,December 16, 2018,5,best
gp:AOqpTOHLdXnqYTc49IqOGMTjZDZBgTFos_45dTH1B0cOPttEbHkBhO3M5PZQ2sv4VSjasyCIHHZ64KT2XeNIp8A,com.flipkart.android,December 16, 2018,5,Super
gp:AOqpTOEmRG-72BPe2u6lwZH33VVrVOmAcRRQxFeQXE5NmBdoPXQNpbxV5rqpoYExwdvPK8TgGoSukSDSqwP0LcE,com.flipkart.android,December 16, 2018,5,Ucv
gp:AOqpTOHe5h-tPm_7sHyj2oVr4qJySAlV4p8H-L68M0-qgLdoxfkKBnVEmHEqU7C-UyNrG5P0jq-5ihoodqoeX3c,com.flipkart.android,December 16, 2018,4,Good but let dilevery
gp:AOqpTOF1lgrJmyWzSWLVsTczqoD4ypnQwfekPHRfGmRFKQP6-IFpdbdmXsX1HxrZZDl3ufx37voBYIrDZV1vfWI,com.flipkart.android,December 16, 2018,5,Well and good
gp:AOqpTOEUnLabHMO7q4CrCKHJKH0yVUeZ-Ika1sRxq0bk7Ps7lJ9GZ2JEUmEpOH6qFGCgUX3dFkdt2V-mhVpg-UQ,com.flipkart.android,December 16, 2018,5,Excellent product
gp:AOqpTOFFwkNqK8SD70FfkfFhOhPSs309COEXyJf5BbFodDCKK0Fowpr6bRcfnC519ws109iLJWhMPeQWz04HDAE,com.flipkart.android,December 16, 2018,4,Nice
gp:AOqpTOH3RsxWzK-fuQvfvV0mJfvSq8pMIiEZ0UdBa85IucJkXFpV4PUN1GwUUB7lN8dIn7QyN8IAk3m6ArMnc2s,com.flipkart.android,December 16, 2018,5,Nice
gp:AOqpTOEoIP622SeWkKiMph8OXI069_dydXl98DqhFK7e-11yTek2vzQbwACovVZe1bghYrds2ziPs4yXxmKBTW8,com.flipkart.android,December 16, 2018,5,Helps me alot
gp:AOqpTOG7OzrJtmwCNphzazfX_GW4CPsAdKknfXaWXqeqD8ZTaHrfE5zSvx6Flnyg7U3xKAdnEbRKeWeD8GYjxyc,com.flipkart.android,December 16, 2018,4,I think 👍
gp:AOqpTOF44wLukTJkTE-hzOT0AHpsqHtBv_2KHLPEFRWgJ8gAakgV7iQe1l0y5zBK2uUH_tERk5ViI2L4b5Rd3V4,com.flipkart.android,December 16, 2018,5,Nice app
gp:AOqpTOF1VO6p7YQBHXfYwoa7spUXra9tzgfIQbyOvlAF7fVoaa_-IJ6lUpTYQ0ss1LOef2L_Plf_LPq1rEqflvk,com.flipkart.android,December 16, 2018,4,Good app
gp:AOqpTOGA1lxLB_1jjZqT6_jd0TR4w87bY64FRr__udW7Dud2vrVqJYnpfhUffA59KHtr-l_uG1cfk7KViHnaa6w,com.flipkart.android,December 16, 2018,5,It is nice
gp:AOqpTOF_be_AcZZpby9jvomLanuAkdLEtC3FaqhhEAiN85KjSemUgsmj7408HUZbPu6vC9pUthpBDoNA35ffBN8,com.flipkart.android,December 16, 2018,3,ok
gp:AOqpTOE_Wp_xubX0SMzdm-lAB4kSPmLkQj9WsGWhE1dSgHgEIrkUqh9Goo0ybpO3AnV6VciNEVi1KHCjJUDEQoM,com.flipkart.android,December 16, 2018,4,I"m happy to use flipkart online shoping.....
